File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
./data/output_files/out/UN_101_em_0.lg, Incorrect,17,2,15,15,0,0.183697551585,11,110,7,15,0,9,0,0,8,8,0,8,6,2,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_1.lg, Incorrect,17,2,15,13,2,0.281774784492,9,72,5,14,1,0,0,0,6,6,0,5,5,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_10.lg, Incorrect,14,1,13,13,0,0.132385430188,12,132,9,13,0,0,0,0,10,9,0,9,9,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_11.lg, Incorrect,35,5,30,28,2,0.167217487312,24,552,19,29,1,0,0,0,20,16,0,16,16,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_12.lg, Incorrect,7,0,7,7,0,0.197202659437,5,20,3,7,0,5,0,0,3,3,0,3,3,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_101_em_13.lg, Incorrect,27,2,25,25,0,0.11883152934,20,380,15,25,0,18,0,0,16,16,0,16,14,2,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_14.lg, Incorrect,21,4,17,17,0,0.197113069488,14,182,10,17,0,0,0,0,11,10,0,10,7,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_15.lg, Incorrect,5,0,5,5,0,0.136082763488,6,30,3,5,0,6,0,0,4,4,0,4,4,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_101_em_16.lg, Incorrect,25,5,20,10,10,0.54839714401,8,56,3,14,5,3,2,1,4,6,0,3,2,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_17.lg, Incorrect,30,4,26,24,2,0.210072293806,17,272,9,25,1,0,0,0,10,8,0,8,7,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_18.lg, Incorrect,19,5,14,14,0,0.211497651752,14,182,12,14,0,9,0,0,13,13,0,13,8,5,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_19.lg, Incorrect,80,15,65,59,6,0.170789789839,50,2450,38,62,3,0,0,0,39,32,0,29,25,14,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_2.lg, Incorrect,9,2,7,7,0,0.231320858726,7,42,5,7,0,5,0,0,6,6,0,6,4,2,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_20.lg, Incorrect,16,4,12,12,0,0.4330407329,6,30,2,10,0,2,4,2,3,3,0,3,1,2,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_21.lg, Incorrect,5,1,4,4,0,0.215737865167,5,20,3,4,0,4,0,0,4,4,0,4,3,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_22.lg, Incorrect,26,5,21,19,2,0.219242134914,17,272,11,20,1,0,0,0,12,11,0,10,8,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_23.lg, Incorrect,15,1,14,14,0,0.125498473894,13,156,10,14,0,12,0,0,11,11,0,11,10,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_101_em_24.lg, Incorrect,37,6,31,29,2,0.16820831201,26,650,20,30,1,0,0,0,21,19,0,18,15,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_101_em_3.lg, Incorrect,7,1,6,6,0,0.249240852502,5,20,2,6,0,4,0,0,3,3,0,3,2,1,0,0,0,1,0,0,0,0
